timestamp,gpu_util,memory_used_mb,memory_total_mb
1775586134,0,20906,23034
1775586135,100,20906,23034
1775586136,100,20906,23034
1775586137,100,20906,23034
1775586138,100,20908,23034
1775586139,100,20908,23034
1775586140,100,20908,23034
1775586141,100,20908,23034
1775586142,100,20908,23034
1775586143,100,20908,23034
1775586144,100,20910,23034
1775586145,100,20910,23034
1775586146,100,20910,23034
