timestamp,gpu_util,memory_used_mb,memory_total_mb
1775586462,1,20346,23034
1775586463,100,20348,23034
1775586464,100,20348,23034
1775586465,100,20350,23034
1775586466,100,20350,23034
1775586467,100,20350,23034
1775586468,100,20350,23034
1775586469,100,20350,23034
1775586470,100,20350,23034
1775586471,100,20350,23034
1775586472,100,20350,23034
1775586473,100,20350,23034
1775586474,100,20350,23034
